iter	Accuracy	MultiClass	Accuracy:use_weights=true	Accuracy:use_weights=false	Precision:use_weights=true;class=0	Precision:use_weights=true;class=1	Precision:use_weights=true;class=2	Precision:use_weights=true;class=3	Precision:use_weights=false;class=0	Precision:use_weights=false;class=1	Precision:use_weights=false;class=2	Precision:use_weights=false;class=3	Recall:use_weights=true;class=0	Recall:use_weights=true;class=1	Recall:use_weights=true;class=2	Recall:use_weights=true;class=3	Recall:use_weights=false;class=0	Recall:use_weights=false;class=1	Recall:use_weights=false;class=2	Recall:use_weights=false;class=3	TotalF1:use_weights=true	TotalF1:use_weights=false
0	0.7087720059	1.349832169	0.7087720059	0.7412630288	0.5321631301	0.8545203298	0.7518841157	0.8324359537	0.5296523517	0.7407407407	0.7894736842	0.8754208754	0.7442528736	0.3125	0.7975460123	0.7807807808	0.7442528736	0.3125	0.7975460123	0.7807807808	0.7018463295	0.7414858825
1	0.7370914267	1.317723486	0.7370914267	0.7700797057	0.5995251323	0.7991290728	0.8017367891	0.7938117157	0.6143187067	0.6617647059	0.8195020747	0.8487654321	0.7643678161	0.3515625	0.8077709611	0.8258258258	0.7643678161	0.3515625	0.8077709611	0.8258258258	0.7285593677	0.7671411849
2	0.7387077197	1.287837032	0.7387077197	0.7713059473	0.5935183848	0.8336383082	0.8144634331	0.7927754744	0.6062639821	0.703125	0.8319148936	0.8476923077	0.7787356322	0.3515625	0.799591002	0.8273273273	0.7787356322	0.3515625	0.799591002	0.8273273273	0.7305503137	0.7686686262
3	0.7345923736	1.258628925	0.7345923736	0.7694665849	0.5945116634	0.914294058	0.7708141731	0.8036958676	0.6104783599	0.8367346939	0.7908366534	0.856474259	0.7701149425	0.3203125	0.8118609407	0.8243243243	0.7701149425	0.3203125	0.8118609407	0.8243243243	0.7238033101	0.7649320341
4	0.7369572894	1.232415574	0.7369572894	0.7719190681	0.5999366798	0.8857683724	0.7841422229	0.7990740844	0.6139954853	0.7843137255	0.8064516129	0.8533541342	0.7816091954	0.3125	0.81799591	0.8213213213	0.7816091954	0.3125	0.81799591	0.8213213213	0.7254134491	0.767111862
5	0.7372073283	1.211193751	0.7372073283	0.7731453096	0.6065953557	0.8831815195	0.7828831961	0.7930319495	0.621559633	0.78	0.8068410463	0.8487654321	0.7787356322	0.3046875	0.8200408998	0.8258258258	0.7787356322	0.3046875	0.8200408998	0.8258258258	0.7246450936	0.7675979259
6	0.7370554661	1.186343205	0.7370554661	0.7719190681	0.5864795162	0.9018156273	0.8055028203	0.7986367406	0.6013071895	0.8163265306	0.821802935	0.8529411765	0.7931034483	0.3125	0.8016359918	0.8273273273	0.7931034483	0.3125	0.8016359918	0.8273273273	0.7263455568	0.7677248544
7	0.7385234043	1.164669656	0.7385234043	0.7737584304	0.5923905404	0.9123392356	0.7983688001	0.7992187779	0.6084070796	0.8333333333	0.8157349896	0.8533950617	0.7902298851	0.3125	0.8057259714	0.8303303303	0.7902298851	0.3125	0.8057259714	0.8303303303	0.72736971	0.7691227832
8	0.7398024404	1.143025553	0.7398024404	0.7762109135	0.6096066526	0.9102931589	0.7904716623	0.7877488364	0.6252873563	0.829787234	0.8130081301	0.8447488584	0.7816091954	0.3046875	0.81799591	0.8333333333	0.7816091954	0.3046875	0.81799591	0.8333333333	0.726979903	0.7703135959
9	0.7370082145	1.123532095	0.7370082145	0.7725321888	0.5992290168	0.8995509646	0.7935367493	0.7911588996	0.6121076233	0.8125	0.8146639511	0.8482972136	0.7844827586	0.3046875	0.81799591	0.8228228228	0.7844827586	0.3046875	0.81799591	0.8228228228	0.7248421555	0.767363207
10	0.738508491	1.104199114	0.738508491	0.7731453096	0.5889198699	0.9102931589	0.8211633915	0.789220554	0.6021505376	0.829787234	0.835443038	0.8465116279	0.8045977011	0.3046875	0.8098159509	0.8198198198	0.8045977011	0.3046875	0.8098159509	0.8198198198	0.7271770275	0.7686514073
11	0.7367667167	1.087626694	0.7367667167	0.7713059473	0.5809152004	0.9102931589	0.8282810312	0.789220554	0.5944798301	0.829787234	0.8397435897	0.8465116279	0.8045977011	0.3046875	0.8036809816	0.8198198198	0.8045977011	0.3046875	0.8036809816	0.8198198198	0.7259894401	0.7672409359
12	0.7346369265	1.070185388	0.7346369265	0.7694665849	0.5773074112	0.8971793646	0.8284341768	0.7896977478	0.5894736842	0.8085106383	0.8415417559	0.8473520249	0.8045977011	0.296875	0.8036809816	0.8168168168	0.8045977011	0.296875	0.8036809816	0.8168168168	0.7235131271	0.7654238991
