iter	Passed	Remaining
0	157	393800
1	186	233147
2	216	179917
3	244	152875
4	273	136266
5	297	123469
6	322	114720
7	347	108387
8	376	104337
9	403	100529
10	429	97191
11	457	94857
12	482	92344
13	508	90247
14	532	88165
15	558	86688
16	584	85365
17	611	84366
18	636	83133
19	663	82305
20	689	81345
21	714	80514
22	740	79754
23	766	79120
24	792	78472
25	822	78290
26	856	78437
27	887	78318
28	923	78664
29	957	78852
30	996	79391
31	1033	79687
32	1065	79689
33	1094	79403
34	1122	79033
35	1148	78629
36	1174	78161
37	1198	77665
38	1226	77425
39	1252	77042
40	1280	76773
41	1311	76748
42	1341	76641
43	1373	76674
44	1406	76758
45	1441	76908
46	1475	77008
47	1510	77171
48	1541	77116
49	1569	76889
50	1595	76611
51	1621	76331
52	1645	75963
53	1669	75631
54	1695	75375
55	1724	75251
56	1750	75042
57	1777	74854
58	1804	74655
59	1839	74792
60	1878	75113
61	1912	75212
62	1945	75265
63	1974	75149
64	2005	75120
65	2030	74875
66	2054	74606
67	2080	74418
68	2107	74256
69	2133	74052
70	2163	74032
71	2193	73955
72	2219	73804
73	2242	73528
74	2264	73216
75	2288	72985
76	2310	72710
77	2332	72419
78	2357	72257
79	2383	72089
80	2420	72291
81	2447	72164
82	2474	72066
83	2498	71860
84	2520	71615
85	2546	71470
86	2568	71249
87	2591	71033
88	2618	70934
89	2646	70854
90	2667	70621
91	2693	70511
92	2717	70324
93	2741	70159
94	2762	69932
95	2789	69850
96	2814	69714
97	2834	69474
98	2867	69540
99	2890	69381
100	2912	69167
101	2936	69034
102	2957	68821
103	2976	68579
104	3001	68463
105	3024	68316
106	3047	68152
107	3072	68043
108	3092	67836
109	3116	67710
110	3135	67492
111	3159	67374
112	3187	67322
113	3212	67230
114	3232	67035
115	3255	66902
116	3278	66781
117	3301	66652
118	3328	66596
119	3352	66486
120	3373	66319
121	3394	66161
122	3414	65994
123	3437	65866
124	3458	65713
125	3480	65581
126	3508	65549
127	3530	65417
128	3550	65264
129	3573	65156
130	3595	65024
131	3616	64870
132	3636	64726
133	3659	64611
134	3682	64517
135	3706	64421
136	3728	64310
137	3749	64172
138	3774	64109
139	3792	63928
140	3814	63816
141	3852	63980
142	3874	63867
143	3896	63750
144	3917	63630
145	3942	63566
146	3966	63486
147	3987	63372
148	4008	63248
149	4030	63137
150	4052	63035
151	4074	62935
152	4093	62797
153	4117	62720
154	4138	62607
155	4159	62497
156	4179	62368
157	4200	62269
158	4221	62149
159	4242	62041
160	4265	61972
161	4286	61856
162	4304	61719
163	4326	61627
164	4348	61534
165	4373	61496
166	4397	61434
167	4416	61312
168	4436	61198
169	4457	61089
170	4480	61018
171	4503	60951
172	4528	60911
173	4551	60838
174	4575	60787
175	4595	60677
176	4617	60605
177	4637	60499
178	4659	60420
179	4683	60364
180	4702	60246
181	4724	60172
182	4745	60090
183	4766	59997
184	4790	59942
185	4812	59869
186	4853	60029
187	4873	59936
188	4898	59894
189	4920	59821
190	4946	59795
191	4968	59722
192	4992	59677
193	5016	59631
194	5036	59536
195	5058	59460
196	5079	59383
197	5100	59303
198	5121	59215
199	5141	59131
200	5162	59047
201	5183	58972
202	5204	58894
203	5225	58815
204	5247	58749
205	5269	58683
206	5290	58604
207	5311	58529
208	5330	58432
209	5354	58385
210	5374	58303
211	5397	58256
212	5418	58178
213	5439	58109
214	5460	58034
215	5480	57950
216	5502	57888
217	5523	57823
218	5542	57729
219	5561	57642
220	5581	57559
221	5601	57480
222	5623	57418
223	5646	57372
224	5665	57289
225	5688	57241
226	5709	57165
227	5728	57087
228	5749	57015
229	5768	56935
230	5787	56843
231	5812	56826
232	5836	56785
233	5884	56987
234	5906	56931
235	5927	56862
236	5946	56781
237	5969	56732
238	5990	56670
239	6009	56586
240	6037	56592
241	6060	56551
242	6086	56535
243	6107	56471
244	6128	56409
245	6149	56344
246	6171	56291
247	6192	56229
248	6212	56165
249	6233	56097
250	6251	56015
251	6276	55989
252	6296	55918
253	6317	55863
254	6339	55811
255	6368	55826
256	6402	55878
257	6429	55871
258	6452	55831
259	6473	55775
260	6496	55728
261	6517	55668
262	6538	55614
263	6561	55577
264	6581	55504
265	6602	55452
266	6623	55397
267	6644	55336
268	6665	55283
269	6686	55227
270	6707	55166
271	6729	55122
272	6750	55070
273	6772	55024
274	6795	54981
275	6814	54909
276	6837	54870
277	6887	55052
278	6911	55023
279	6931	54957
280	6953	54907
281	6976	54872
282	6996	54812
283	7016	54748
284	7039	54706
285	7060	54659
286	7084	54625
287	7105	54571
288	7127	54525
289	7148	54474
290	7170	54429
291	7193	54391
292	7213	54338
293	7242	54346
